codigo_solicitado,cod_solic_desc
11138495,MEM 8GB DDR4 PC19200 DIMM TEKON MONT
11155839,CONJUNTO PAINEL LCD V142N
11144920,PLM J14GL21 ELAN 4GB C/HD N4000 LPDDR4 J
11138637,LEITOR DE CARTAO MP-18 GERTEC-MANAUS
11130583,MEM 4GB DDR4 PC19200 DIMM GDKEY MONT
11139756,CONJUNTO FRONTAL S512 PRETO HANCAI JT
11146660,LCD 14 SL140PB42D1636-A00 DARKGRAY V142R
11160700,CONJ TAMPA A DKGREY V142R/R2/ZP6/EP6
11160907,PLM N14EP6 4GB 64GB Z8330 DDR3 JABIL JAB
11116242,"SSHD 1TB 3,5` SATAIII SEAGT ST1000DX001"
11113767,PLM S455 RAGTK LPDDR3 CKD MT6582V
11150195,CONJUNTO FRONTAL S532 HF
11146731,PLM N240WU-V I3-8130U DDR4 BOREO CKD
11146731,PLM N240WU-V I3-8130U DDR4 BOREO CKD
11133099,BATER 2C LI-PO 10000MAH BOREO CKDFP
11133088,LCD 15.6 AG CAM 0.3M S15KL SHUTTLE
11145587,"LCD 14,1 HD AG N140WHM-N41 CINZA N14DP6"
11145469,TAMPA COVER C DARK GRAK C/TECLA N14ZP6
11142727,"LCD 14,1 HD AG N140BGA-EA3 CINZA N14DP6"
11150195,CONJUNTO FRONTAL S532 HF
11145469,TAMPA COVER C DARK GRAK C/TECLA N14ZP6
11150195,CONJUNTO FRONTAL S532 HF
11152993,TAMPA COVER C DARK GRAY C/TECLA N14EP6
11134073,TAMPA C CE C/TP TCL NETFLIX ENG SPK V142
11150546,TAMPA COVER C TP CINZA S/TECLA N14DP6 2
11153139,PLM V142R-2 2G N 32GB N Z8350 DDR3 JABIL
11153472,LCD 12 GLARE SL116PP40Y1008 V116N S LOGO
11145640,TAMPA COVER C TP CINZA NETF N14DP6 IND
11153881,TAMPA COVER C TP CINZA S/TECLA N14AP6
11149340,PLM N14ZP6 4G 64GB Z8350 LPDDR3 JABIL JA
11153139,PLM V142R-2 2G N 32GB N Z8350 DDR3 JABIL
11145699,PLM S14SL03 S/EMMC C I3-6006U DDR3L BORE
11138872,CONJUNTO FRONTAL S532 JT
11150546,TAMPA COVER C TP CINZA S/TECLA N14DP6 2
11138872,CONJUNTO FRONTAL S532 JT
11127066,"HDD 1TB 2,5` SATA WESTE WD10SPZX"
11132491,FONTE TFX 200W PI-T200P-S(01) SEASO AUT
11145640,TAMPA COVER C TP CINZA NETF N14DP6 IND
11134048,PLM POS-RIB360EC PLUS DDR4 ECOFP
11150546,TAMPA COVER C TP CINZA S/TECLA N14DP6 2
11128220,"ADAPT AC/DC WA-15I05FB-GNAC 2,2M 15W 2P"
11152967,TAMPA C C/TP SPK DARK GRAY C/TCL V142R-2
11128849,SSD 256GB SATAIII CV6-8Q256 CALCO
11160659,CONJ PAINEL LCD V142R/R2/ZP6/EP6
11105494,"HDD 500GB 2,5` SATAIII TOSHB MQ01ABF050"
11152993,TAMPA COVER C DARK GRAY C/TECLA N14EP6
11150211,"LCD 14,1 FHD AG NT140FHMN41 CINZA N14DP6"
11155165,PLM V142R-2 4G N 64GB N Z8350 DDR3 JABIL
11154520,PLM N14EP6 4G N 64GB N Z8350 DDR3 JABIL
11128849,SSD 256GB SATAIII CV6-8Q256 CALCO
11130397,FONTE TFX 230W GT-230 SOHOO AUT
11092563,TCL ABNT2 SK-6620 USB PR POS
11092563,TCL ABNT2 SK-6620 USB PR POS
11092563,TCL ABNT2 SK-6620 USB PR POS
11092563,TCL ABNT2 SK-6620 USB PR POS
11160907,PLM N14EP6 4GB 64GB Z8330 DDR3 JABIL JAB
11160659,CONJ PAINEL LCD V142R/R2/ZP6/EP6
11155165,PLM V142R-2 4G N 64GB N Z8350 DDR3 JABIL
11146038,PLM J14KR11 ELAN 4GB I3-7020U HDD BORE C
11152993,TAMPA COVER C DARK GRAY C/TECLA N14EP6
11124972,SSD 128GB SATAIII SU800FA2 ADATA
11150195,CONJUNTO FRONTAL S532 HF
11134393,"HDD 1TB 2,5` SATA TOSHB MQ04ABF100/HDWL1"
11145640,TAMPA COVER C TP CINZA NETF N14DP6 IND
11145919,PLM N14ZP6 4G 64GB Z8350 LPDDR3 JABIL MO
11122028,PLM POS-PIQ170DS TL DDR4 PEGTR ECO
11133814,PLM V142N 4G 32GB FP Z8350 LPDDR3 JABIL
11115151,"HDD 500GB 2,5` SATAIII WESTE WD5000LPCX"
11160659,CONJ PAINEL LCD V142R/R2/ZP6/EP6
11145640,TAMPA COVER C TP CINZA NETF N14DP6 IND
11118516,BATER 2C LI-PO 3000MAH SHUTL MONT
11153740,LCD 14 SL140PB42D1636-A00 RED V142
11160659,CONJ PAINEL LCD V142R/R2/ZP6/EP6
11134345,"ADAPT AC/DC WA-15I05FB-GNAD 2,2M 15W 2P"
11160356,PLM V142R-2 4GB Z8330 DDR3 JABIL JABIL
11160659,CONJ PAINEL LCD V142R/R2/ZP6/EP6
11151659,TAMPA COVER C TP CINZA TECLA MENU N14DP6
11146660,LCD 14 SL140PB42D1636-A00 DARKGRAY V142R
11139891,PLM S541 MT6739 TOPWELL MONT
11155165,PLM V142R-2 4G N 64GB N Z8350 DDR3 JABIL
11146660,LCD 14 SL140PB42D1636-A00 DARKGRAY V142R
11160907,PLM N14EP6 4GB 64GB Z8330 DDR3 JABIL JAB
11144472,PLM V142N 2G 32GB Z8300 LPDDR3 JABIL MON
11145242,TAMPA C C/TP SPK V2 DARK GRAY V142R
11152993,TAMPA COVER C DARK GRAY C/TECLA N14EP6
11146889,PLM V142R 178B 4G 64GB Z8350 LPDDR3 JABI
11145918,PLM W2150G HD N4000 LPDDR4 1.2 BOREO CWB
11119046,MONITOR LED 15.6` PED. PRETO POSITIVO
11130789,"HDD 1TB 2,5` SATA WESTE WD10SPZX NAC"
11124972,SSD 128GB SATAIII SU800FA2 ADATA
11130260,"ADAPT AC/DC WA-15I05FB-GNAB 1,5M 15W 2P"
11129879,LCD 14 ANTI GLARE 3.0MM W/LOGO CHT14B RE
11150211,"LCD 14,1 FHD AG NT140FHMN41 CINZA N14DP6"
11105494,"HDD 500GB 2,5` SATAIII TOSHB MQ01ABF050"
11150211,"LCD 14,1 FHD AG NT140FHMN41 CINZA N14DP6"
11160906,PLM N14EP6 2GB 32GB Z8330 DDR3 JABIL JAB
11153241,"LCD 21,5 TELA FHD A215U2_W2150G V1"
11152993,TAMPA COVER C DARK GRAY C/TECLA N14EP6
11150546,TAMPA COVER C TP CINZA S/TECLA N14DP6 2
11150546,TAMPA COVER C TP CINZA S/TECLA N14DP6 2
11161168,PLM V142R-2 4GB 64GB Z8330 DDR3 JABIL JA
11129545,SSD 256GB SATAIII PX-256S3C PXTOR
11155165,PLM V142R-2 4G N 64GB N Z8350 DDR3 JABIL
11155255,PLM N14AP6 4G HDD N3350 LPDDR4 JABIL JAB
11150211,"LCD 14,1 FHD AG NT140FHMN41 CINZA N14DP6"
11134345,"ADAPT AC/DC WA-15I05FB-GNAD 2,2M 15W 2P"
11145471,TAMPA COVER D DARK GRAY N14ZP6
11142727,"LCD 14,1 HD AG N140BGA-EA3 CINZA N14DP6"
11138512,LCD 12 GLARE SL116PP40Y1008 V116N SERIGR
11119819,MON LED 19.5` LG 20M35TD POS
11117574,PLM POS-PIB150DR DDR4 PEGTR ECO
11140489,"LCD 21,5 TELA FHD W2150G C/ GAXETA"
11153134,PLM N14EP6 2G N 32GB N Z8350 DDR3 JABIL
11150034,"LCD 14,1 HD AG RED N14ZP6"
11150546,TAMPA COVER C TP CINZA S/TECLA N14DP6 2
11145640,TAMPA COVER C TP CINZA NETF N14DP6 IND
11128232,BATER 2C LI-PO 4200MAH SHUTL MONT
11123145,FONTE TFX 240W IP-P240GF7-2 INWIN AUT
11128693,SSD 256GB SATA CV6-CQ256 LITEO
11160326,PLM V142R-2 2GB Z8330 DDR3 JABIL JABIL
11127725,FONTE TFX 240W IP-P240GF7-2 INWIN AUT
11134073,TAMPA C CE C/TP TCL NETFLIX ENG SPK V142
11142727,"LCD 14,1 HD AG N140BGA-EA3 CINZA N14DP6"
11149340,PLM N14ZP6 4G 64GB Z8350 LPDDR3 JABIL JA
11160659,CONJ PAINEL LCD V142R/R2/ZP6/EP6
11145242,TAMPA C C/TP SPK V2 DARK GRAY V142R
11145640,TAMPA COVER C TP CINZA NETF N14DP6 IND
11127066,"HDD 1TB 2,5` SATA WESTE WD10SPZX"
11115151,"HDD 500GB 2,5` SATAIII WESTE WD5000LPCX"
11155165,PLM V142R-2 4G N 64GB N Z8350 DDR3 JABIL
11146660,LCD 14 SL140PB42D1636-A00 DARKGRAY V142R
11146660,LCD 14 SL140PB42D1636-A00 DARKGRAY V142R
11150211,"LCD 14,1 FHD AG NT140FHMN41 CINZA N14DP6"
11145471,TAMPA COVER D DARK GRAY N14ZP6
11152993,TAMPA COVER C DARK GRAY C/TECLA N14EP6
11146660,LCD 14 SL140PB42D1636-A00 DARKGRAY V142R
11145469,TAMPA COVER C DARK GRAK C/TECLA N14ZP6
11139756,CONJUNTO FRONTAL S512 PRETO HANCAI JT
11149340,PLM N14ZP6 4G 64GB Z8350 LPDDR3 JABIL JA
11153139,PLM V142R-2 2G N 32GB N Z8350 DDR3 JABIL
11121998,"HDD 500GB 2,5` SATAIII SEAGT ST500LM030"
11128627,CONJUNTO FRONTAL S511 BRANCO HANCAI
11139756,CONJUNTO FRONTAL S512 PRETO HANCAI JT
11128693,SSD 256GB SATA CV6-CQ256 LITEO
11092563,TCL ABNT2 SK-6620 USB PR POS
11160659,CONJ PAINEL LCD V142R/R2/ZP6/EP6
11145468,"LCD 14,1 HD AG DARK GRAY N14ZP6"
11150195,CONJUNTO FRONTAL S532 HF
11145394,BATER 2C LI-PO 10000MAH 38WH BOREO BOREO
11159671,TAMPA C NON BL K/B BMORN N14AP6
11146090,"HDD 500GB 2,5 SATAIII WESTE WD5000LPZX"
11146889,PLM V142R 178B 4G 64GB Z8350 LPDDR3 JABI
11150546,TAMPA COVER C TP CINZA S/TECLA N14DP6 2
11137618,LCD 14 GL CE SL140DC30D1465-A00  V142N
11105494,"HDD 500GB 2,5` SATAIII TOSHB MQ01ABF050"
11140500,ADAPT AC/DC F24L9-120200SPAE 24W 2P
11128220,"ADAPT AC/DC WA-15I05FB-GNAC 2,2M 15W 2P"
11133996,PLM POS-RIB360EE PLUS DDR4 ECOFP
11126712,PLM POS-PIQ170DU R3 DVI DDR4 BOREO CKDFP
11145469,TAMPA COVER C DARK GRAK C/TECLA N14ZP6
11114230,"HDD 500GB 2,5` SATAIII WESTE WD5000LPLX"
11155165,PLM V142R-2 4G N 64GB N Z8350 DDR3 JABIL
11145640,TAMPA COVER C TP CINZA NETF N14DP6 IND
11160906,PLM N14EP6 2GB 32GB Z8330 DDR3 JABIL JAB
11161167,PLM V142R-2 2GB 32GB Z8330 DDR3 JABIL JA
